Feature,id,freq_min,freq_max,freq_std,mfcc_power,mfcc_mean,mfcc_std,mfcc_delta_mean,mfcc_delta_std,min_zero_crossing_rate,result
First Cluster,42.162296650717707,330.91578947368419,878.57569377990433,147.33578053688558,127.94397660692924,19.215710333243727,55.646459340461192,-0.022521879347490628,-0.007895633567746016,0.0082591955741626796,0.30545454545454548
Second Cluster,42.044969420793862,338.28408682096176,2226.9896870128314,494.98052468237944,118.58824826804549,16.112781176483026,54.316043767520519,-0.019169469532347182,-0.011326522884060181,0.0084882123905744098,0.45269216932485912
